frame,time_s,face_lm33,face_lm133,face_lm362,face_lm263,face_lm61,face_lm291,face_lm105,face_lm334,left_hand_lm00,left_hand_lm01,left_hand_lm02,left_hand_lm03,left_hand_lm04,left_hand_lm05,left_hand_lm06,left_hand_lm07,left_hand_lm08,left_hand_lm09,left_hand_lm10,left_hand_lm11,left_hand_lm12,left_hand_lm13,left_hand_lm14,left_hand_lm15,left_hand_lm16,left_hand_lm17,left_hand_lm18,left_hand_lm19,left_hand_lm20,right_hand_lm00,right_hand_lm01,right_hand_lm02,right_hand_lm03,right_hand_lm04,right_hand_lm05,right_hand_lm06,right_hand_lm07,right_hand_lm08,right_hand_lm09,right_hand_lm10,right_hand_lm11,right_hand_lm12,right_hand_lm13,right_hand_lm14,right_hand_lm15,right_hand_lm16,right_hand_lm17,right_hand_lm18,right_hand_lm19,right_hand_lm20
42,1.4,[0.479804 0.220809 0.007763],[0.497387 0.222276 0.004161],[0.520401 0.223011 0.003365],[0.538649 0.222582 0.00606],[0.493598 0.285197 0.000516],[0.524101 0.285459 -0.00051],[0.482668 0.197993 -0.000646],[0.53542 0.199849 -0.002118],[0.583925 0.542514 -0.0],[0.554866 0.548528 0.001007],[0.534115 0.573312 -0.000821],[0.523922 0.601047 -0.003589],[0.519976 0.623313 -0.007117],[0.530078 0.571862 -0.001079],[0.52021 0.606377 -0.007154],[0.519972 0.625178 -0.012934],[0.520844 0.636814 -0.016734],[0.541536 0.577677 -0.004687],[0.534784 0.61341 -0.008192],[0.535488 0.627373 -0.010985],[0.537179 0.634097 -0.014175],[0.555266 0.583391 -0.008486],[0.550022 0.615618 -0.012243],[0.551074 0.621913 -0.011878],[0.551902 0.621768 -0.012305],[0.569372 0.589344 -0.012198],[0.564494 0.614013 -0.015532],[0.566254 0.615529 -0.014049],[0.568261 0.612008 -0.012992],[0.439489 0.549223 -0.0],[0.455687 0.547973 -0.002366],[0.468753 0.536316 -0.00328],[0.475242 0.523247 -0.005486],[0.476151 0.511632 -0.007114],[0.472011 0.499203 0.004306],[0.479076 0.490536 -0.000961],[0.48113 0.500815 -0.006726],[0.480948 0.513074 -0.009463],[0.463326 0.489537 0.002342],[0.468579 0.477503 -0.002535],[0.472709 0.48618 -0.00807],[0.474469 0.498216 -0.010892],[0.45212 0.482416 -0.00078],[0.457205 0.468509 -0.004982],[0.462123 0.47601 -0.009025],[0.464921 0.487318 -0.01078],[0.439447 0.478616 -0.004286],[0.439816 0.45838 -0.005564],[0.440012 0.444557 -0.006665],[0.440121 0.434596 -0.007287]
43,1.43333,[0.479647 0.220689 0.007107],[0.497279 0.22257 0.003559],[0.520483 0.223664 0.002923],[0.538764 0.223419 0.005783],[0.492965 0.285657 0.001137],[0.524036 0.286724 0.000433],[0.482628 0.197791 -0.00176],[0.535836 0.200616 -0.002924],[0.576096 0.548728 -0.0],[0.549999 0.565855 0.002905],[0.536354 0.598152 0.001069],[0.532991 0.629491 -0.001737],[0.534716 0.652261 -0.00521],[0.534379 0.595415 -0.003245],[0.529431 0.633999 -0.007862],[0.532939 0.653146 -0.011209],[0.537192 0.663115 -0.013237],[0.547776 0.598355 -0.007336],[0.54591 0.639571 -0.009936],[0.550242 0.649944 -0.010368],[0.554508 0.650389 -0.011589],[0.56232 0.600866 -0.010893],[0.562995 0.636588 -0.012391],[0.564513 0.632935 -0.009282],[0.565645 0.622152 -0.007953],[0.576219 0.602565 -0.014159],[0.575558 0.631107 -0.014269],[0.576262 0.627294 -0.010383],[0.576571 0.617094 -0.00792],[0.432492 0.500804 0.0],[0.440296 0.476456 -0.001953],[0.452682 0.45981 -0.005251],[0.465446 0.458761 -0.009941],[0.475332 0.465203 -0.015075],[0.447911 0.445173 -0.006348],[0.446134 0.42606 -0.012975],[0.446563 0.410267 -0.018481],[0.44702 0.397597 -0.022854],[0.449597 0.455745 -0.010018],[0.460191 0.461598 -0.017956],[0.465559 0.474322 -0.021856],[0.467003 0.484066 -0.024062],[0.449544 0.47091 -0.013762],[0.459116 0.479762 -0.021526],[0.462751 0.49071 -0.021671],[0.462813 0.499044 -0.020829],[0.447465 0.487097 -0.017884],[0.455615 0.496451 -0.022589],[0.457962 0.50325 -0.021394],[0.456815 0.509098 -0.01991]
44,1.46667,[0.478911 0.221757 0.006597],[0.496685 0.223843 0.002986],[0.5201 0.225109 0.002331],[0.538573 0.224842 0.005221],[0.492811 0.286707 0.001659],[0.523672 0.287742 0.000921],[0.481951 0.199005 -0.002743],[0.535571 0.201974 -0.003935],[0.569777 0.54946 -0.0],[0.547084 0.571478 0.002158],[0.538373 0.604628 0.001031],[0.54031 0.634556 -0.000868],[0.543871 0.655776 -0.003289],[0.536027 0.60663 -0.001339],[0.53761 0.639912 -0.005342],[0.538412 0.658017 -0.008514],[0.539947 0.671591 -0.01072],[0.549518 0.609139 -0.004983],[0.552723 0.645042 -0.008486],[0.554685 0.642153 -0.009106],[0.556132 0.633735 -0.009656],[0.563879 0.60934 -0.008266],[0.566195 0.638909 -0.011234],[0.566251 0.631644 -0.008063],[0.566149 0.620768 -0.005917],[0.577954 0.608431 -0.011348],[0.577213 0.632905 -0.012445],[0.577266 0.625888 -0.008556],[0.577451 0.615705 -0.005673],[0.434287 0.479405 0.0],[0.453162 0.460088 -0.004061],[0.46769 0.447129 -0.009498],[0.477902 0.446012 -0.015444],[0.481826 0.45483 -0.021645],[0.451478 0.426494 -0.010849],[0.457204 0.422046 -0.019821],[0.456971 0.423316 -0.026826],[0.454808 0.424832 -0.03141],[0.44124 0.433137 -0.013155],[0.457837 0.449508 -0.021747],[0.462608 0.465588 -0.024753],[0.463891 0.477273 -0.026359],[0.432703 0.444686 -0.015587],[0.449168 0.459694 -0.022636],[0.452027 0.472114 -0.020515],[0.451792 0.481099 -0.018168],[0.425752 0.456979 -0.018683],[0.438593 0.469996 -0.023213],[0.442159 0.478941 -0.020406],[0.442941 0.485874 -0.017274]
45,1.5,[0.479485 0.222381 0.005557],[0.49716 0.224608 0.002412],[0.52026 0.225988 0.002362],[0.53825 0.22575 0.00555],[0.493237 0.287954 0.001463],[0.523673 0.288947 0.001608],[0.48275 0.199617 -0.00366],[0.535543 0.20325 -0.003715],[0.56182 0.551796 -0.0],[0.542422 0.570844 0.000266],[0.534595 0.601711 -0.002062],[0.538667 0.629243 -0.004463],[0.545363 0.648427 -0.007313],[0.53053 0.605534 -0.007377],[0.532839 0.640354 -0.012629],[0.536701 0.656916 -0.015574],[0.540791 0.665497 -0.0171],[0.545349 0.606703 -0.009951],[0.552212 0.640278 -0.014282],[0.55411 0.634705 -0.014079],[0.553654 0.624105 -0.013882],[0.560743 0.605767 -0.012111],[0.565925 0.633849 -0.015682],[0.566152 0.626449 -0.011835],[0.565163 0.616278 -0.009165],[0.575375 0.604046 -0.014091],[0.576412 0.626843 -0.015783],[0.575987 0.61932 -0.011656],[0.575596 0.609682 -0.008483],[0.440975 0.460099 0.0],[0.457821 0.446203 -0.003064],[0.470887 0.432744 -0.007727],[0.481285 0.431231 -0.013524],[0.488529 0.437558 -0.019794],[0.456854 0.404761 -0.009941],[0.456533 0.382043 -0.017239],[0.456884 0.366231 -0.022778],[0.456404 0.353701 -0.02718],[0.447359 0.412305 -0.013934],[0.458293 0.414837 -0.023934],[0.469967 0.430894 -0.027936],[0.476799 0.443863 -0.029811],[0.439647 0.426631 -0.017909],[0.451157 0.433031 -0.027073],[0.462104 0.446949 -0.027097],[0.467993 0.457569 -0.025939],[0.43364 0.44355 -0.022288],[0.442314 0.452601 -0.028234],[0.448911 0.462193 -0.027089],[0.452098 0.469701 -0.025493]
46,1.53333,[0.479892 0.223085 0.004556],[0.497816 0.225354 0.001927],[0.52098 0.227112 0.002797],[0.538892 0.227396 0.006575],[0.492942 0.288931 0.001071],[0.524074 0.290459 0.002428],[0.483665 0.200558 -0.004656],[0.536779 0.204953 -0.003013],[0.556679 0.543033 -0.0],[0.536305 0.56164 0.00033],[0.526929 0.591826 -0.000596],[0.52755 0.619726 -0.001867],[0.532824 0.638674 -0.003505],[0.5247 0.595395 -0.003701],[0.526155 0.626314 -0.008725],[0.528692 0.643414 -0.01197],[0.531898 0.653993 -0.013845],[0.538536 0.597208 -0.006331],[0.544734 0.62792 -0.010949],[0.546535 0.622999 -0.011713],[0.546014 0.613081 -0.011986],[0.553055 0.596833 -0.008808],[0.557523 0.622729 -0.012879],[0.558355 0.616748 -0.009901],[0.557512 0.607066 -0.007617],[0.567198 0.595587 -0.011212],[0.567523 0.617264 -0.013256],[0.567875 0.610151 -0.009683],[0.567866 0.60025 -0.006798],[0.44721 0.455312 0.0],[0.459851 0.43628 -0.001608],[0.470314 0.419394 -0.005399],[0.477651 0.410128 -0.010117],[0.483936 0.405526 -0.015274],[0.460031 0.400287 -0.011254],[0.465717 0.379973 -0.017323],[0.467227 0.364659 -0.021157],[0.46771 0.352343 -0.0244],[0.452205 0.410315 -0.015323],[0.470838 0.414851 -0.024159],[0.485253 0.424578 -0.026199],[0.495059 0.432775 -0.026996],[0.447555 0.426574 -0.019019],[0.467654 0.434627 -0.025548],[0.477644 0.44149 -0.023338],[0.482956 0.44699 -0.021393],[0.445824 0.445021 -0.023153],[0.46188 0.451441 -0.026632],[0.467481 0.455626 -0.023898],[0.469182 0.458992 -0.021523]
47,1.56667,[0.48086 0.224054 0.005018],[0.498606 0.226162 0.002115],[0.521447 0.227734 0.00248],[0.539334 0.227902 0.005929],[0.493399 0.289956 0.00139],[0.52403 0.291369 0.002118],[0.484261 0.201567 -0.004235],[0.537023 0.205616 -0.003538],[0.551686 0.531087 -0.0],[0.530489 0.545706 -0.000136],[0.521801 0.575474 -0.001838],[0.524516 0.602528 -0.003211],[0.530344 0.620414 -0.005009],[0.517398 0.578059 -0.009322],[0.518011 0.611614 -0.014145],[0.52158 0.630056 -0.01635],[0.525929 0.642199 -0.017512],[0.531989 0.580901 -0.011707],[0.536369 0.61673 -0.015721],[0.539167 0.615179 -0.015237],[0.540763 0.606024 -0.014758],[0.547246 0.581626 -0.013543],[0.550492 0.61101 -0.017007],[0.550785 0.603936 -0.013489],[0.550139 0.593202 -0.010918],[0.561356 0.581249 -0.015205],[0.561075 0.605163 -0.017319],[0.560851 0.597675 -0.013779],[0.56052 0.587611 -0.010959],[0.461294 0.459333 0.0],[0.474351 0.43896 -0.001411],[0.483093 0.422918 -0.005882],[0.487934 0.416373 -0.011501],[0.492958 0.416907 -0.017895],[0.472868 0.400522 -0.011444],[0.47878 0.38295 -0.018778],[0.481453 0.367874 -0.023531],[0.483311 0.355588 -0.027192],[0.46272 0.408388 -0.015949],[0.483292 0.414807 -0.026848],[0.498121 0.426464 -0.02983],[0.50805 0.4364 -0.030411],[0.45614 0.423231 -0.020089],[0.478559 0.432877 -0.028994],[0.49146 0.441859 -0.028153],[0.499682 0.449477 -0.02608],[0.452608 0.441068 -0.024554],[0.470909 0.44884 -0.02997],[0.482283 0.454481 -0.028469],[0.490189 0.459562 -0.026248]
48,1.6,[0.480828 0.224377 0.005822],[0.498357 0.226293 0.002684],[0.521286 0.227738 0.00263],[0.539246 0.227743 0.005776],[0.49396 0.28992 0.001197],[0.523621 0.290826 0.001181],[0.484052 0.202772 -0.003428],[0.536649 0.205949 -0.003474],[0.550584 0.514379 -0.0],[0.530088 0.527095 -0.00098],[0.518362 0.555713 -0.002465],[0.51724 0.583576 -0.003714],[0.519394 0.604063 -0.005219],[0.512954 0.558313 -0.006781],[0.514027 0.591628 -0.011338],[0.516958 0.611576 -0.014109],[0.520533 0.625632 -0.015739],[0.526488 0.562163 -0.008646],[0.529133 0.596379 -0.012941],[0.533235 0.602728 -0.014209],[0.537357 0.600399 -0.01492],[0.541233 0.564318 -0.010174],[0.544657 0.593562 -0.014199],[0.546254 0.586722 -0.011897],[0.546553 0.574983 -0.009852],[0.555689 0.565609 -0.01166],[0.556041 0.589306 -0.014322],[0.557407 0.582206 -0.011481],[0.557689 0.571255 -0.008934],[0.471043 0.431593 0.0],[0.486045 0.423278 -0.006025],[0.502236 0.418184 -0.011362],[0.513642 0.41313 -0.015508],[0.519771 0.407233 -0.019664],[0.486954 0.410524 -0.019114],[0.503535 0.426715 -0.026391],[0.513503 0.440531 -0.029819],[0.519875 0.450856 -0.031462],[0.47736 0.422312 -0.019279],[0.495244 0.437819 -0.025101],[0.506197 0.450022 -0.02584],[0.513623 0.458919 -0.026635],[0.470575 0.437236 -0.019171],[0.488595 0.451282 -0.024252],[0.49947 0.459571 -0.023132],[0.506735 0.465713 -0.022234],[0.466784 0.453028 -0.01937],[0.480172 0.463385 -0.022511],[0.489667 0.470172 -0.021319],[0.497126 0.476038 -0.020455]
49,1.63333,[0.481615 0.223047 0.005158],[0.499296 0.225303 0.002093],[0.522229 0.226902 0.002055],[0.54017 0.226897 0.005172],[0.494236 0.289425 0.002204],[0.524796 0.290496 0.002219],[0.485091 0.202473 -0.004796],[0.537573 0.206453 -0.004821],[0.554227 0.506482 -0.0],[0.528964 0.513515 0.000227],[0.514028 0.535929 -0.003977],[0.514539 0.563246 -0.00899],[0.521235 0.585295 -0.015385],[0.504685 0.529033 -0.010237],[0.502808 0.567696 -0.017218],[0.508247 0.58997 -0.02251],[0.51303 0.603449 -0.025888],[0.517715 0.529099 -0.014575],[0.52082 0.570021 -0.018835],[0.525247 0.581576 -0.02042],[0.529019 0.585365 -0.022481],[0.533237 0.532146 -0.018408],[0.537614 0.569728 -0.021384],[0.539891 0.566546 -0.019641],[0.541113 0.557355 -0.01915],[0.548079 0.536877 -0.022217],[0.548724 0.566566 -0.02476],[0.548946 0.564541 -0.021562],[0.549071 0.556188 -0.019106],[0.493497 0.440551 0.0],[0.50698 0.435067 -0.005026],[0.517209 0.423788 -0.012859],[0.522574 0.40601 -0.02016],[0.523704 0.388121 -0.027913],[0.50539 0.424478 -0.020049],[0.518251 0.450878 -0.026927],[0.526629 0.467515 -0.030743],[0.531712 0.47848 -0.032965],[0.493066 0.434505 -0.021861],[0.508594 0.461702 -0.026384],[0.518064 0.477497 -0.026202],[0.524656 0.486956 -0.027138],[0.482917 0.445947 -0.023278],[0.497939 0.470757 -0.027216],[0.50599 0.484163 -0.025202],[0.511569 0.491289 -0.024468],[0.47534 0.457828 -0.024946],[0.483142 0.474934 -0.026941],[0.488635 0.483948 -0.024218],[0.493161 0.488535 -0.022959]
50,1.66667,[0.482162 0.220898 0.005456],[0.499994 0.223939 0.002422],[0.52271 0.226035 0.002473],[0.540926 0.225961 0.00567],[0.49464 0.288536 0.001841],[0.525369 0.290032 0.002025],[0.485886 0.201233 -0.004443],[0.538334 0.205917 -0.004276],[0.557487 0.493823 -0.0],[0.533648 0.495158 0.000357],[0.517881 0.510242 -0.001883],[0.510236 0.527363 -0.004624],[0.50962 0.541421 -0.008136],[0.506257 0.51153 -0.006419],[0.501512 0.547921 -0.010531],[0.502638 0.566417 -0.012737],[0.503568 0.577492 -0.014133],[0.516318 0.51198 -0.009646],[0.516361 0.556091 -0.011804],[0.522663 0.559452 -0.011252],[0.526619 0.557066 -0.01141],[0.528852 0.513846 -0.012545],[0.530916 0.554185 -0.01438],[0.53576 0.547822 -0.011353],[0.537196 0.537724 -0.009743],[0.542134 0.517123 -0.015489],[0.54215 0.546813 -0.017482],[0.545491 0.541377 -0.014054],[0.547328 0.531311 -0.011],[0.48112 0.459293 0.0],[0.499238 0.449685 -0.002286],[0.519298 0.4385 -0.00805],[0.532735 0.423432 -0.013701],[0.542091 0.409777 -0.019179],[0.513921 0.439243 -0.015286],[0.532034 0.457784 -0.022011],[0.537166 0.469643 -0.024807],[0.538603 0.476326 -0.026066],[0.503709 0.447295 -0.017718],[0.524753 0.470267 -0.023019],[0.528 0.478678 -0.022335],[0.527178 0.479532 -0.022159],[0.494113 0.459557 -0.019745],[0.516093 0.481542 -0.023546],[0.519684 0.487639 -0.020074],[0.518788 0.48632 -0.017809],[0.486367 0.474127 -0.021753],[0.504766 0.488686 -0.023542],[0.510023 0.493732 -0.020363],[0.512092 0.493912 -0.01816]
51,1.7,[0.48191 0.219914 0.006072],[0.499874 0.223213 0.002745],[0.522949 0.224943 0.002382],[0.541536 0.22418 0.005364],[0.494724 0.287443 0.001718],[0.524992 0.28894 0.001355],[0.485408 0.1998 -0.003751],[0.538582 0.203719 -0.004342],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[0.475043 0.473263 0.0],[0.49654 0.463485 0.000455],[0.516071 0.459244 -0.003815],[0.530219 0.461918 -0.008568],[0.539445 0.464998 -0.013152],[0.509009 0.433965 -0.013957],[0.518301 0.419629 -0.02401],[0.525853 0.407144 -0.031052],[0.53132 0.394216 -0.035352],[0.499509 0.439646 -0.018841],[0.520826 0.449859 -0.026727],[0.531967 0.465294 -0.02874],[0.537593 0.477334 -0.029775],[0.491565 0.454359 -0.023194],[0.51512 0.466451 -0.029108],[0.523676 0.478727 -0.026006],[0.526685 0.485341 -0.023159],[0.485888 0.472762 -0.027707],[0.505094 0.481621 -0.03045],[0.514135 0.489754 -0.026518],[0.519151 0.494418 -0.023057]
52,1.73333,[0.482354 0.218518 0.006414],[0.500199 0.22193 0.003008],[0.523114 0.22384 0.002505],[0.541664 0.223245 0.005445],[0.494896 0.285372 0.001521],[0.525044 0.287044 0.000984],[0.485956 0.198145 -0.00318],[0.538865 0.202511 -0.003988],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[0.480014 0.456282 0.0],[0.496648 0.447838 -0.005048],[0.515205 0.434028 -0.01035],[0.527313 0.418262 -0.014811],[0.535513 0.402593 -0.019149],[0.506378 0.434782 -0.016536],[0.520687 0.445156 -0.022318],[0.528708 0.452808 -0.024753],[0.534755 0.458486 -0.026037],[0.495322 0.44619 -0.017122],[0.513488 0.463836 -0.020841],[0.522499 0.475869 -0.020323],[0.528771 0.484097 -0.020562],[0.485948 0.462021 -0.017495],[0.504178 0.479835 -0.020834],[0.514151 0.487829 -0.019242],[0.520782 0.492411 -0.018444],[0.47889 0.478574 -0.018026],[0.493072 0.489086 -0.019682],[0.500865 0.492918 -0.017541],[0.507348 0.49589 -0.016293]
53,1.76667,[0.482355 0.217235 0.00671],[0.500248 0.220631 0.003372],[0.523179 0.222848 0.003013],[0.541794 0.222757 0.006044],[0.493804 0.284011 0.001182],[0.524917 0.286509 0.000861],[0.486251 0.196779 -0.002654],[0.539114 0.201705 -0.003188],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[0.466446 0.471747 0.0],[0.487376 0.460149 0.00132],[0.50666 0.455596 -0.001866],[0.520737 0.458241 -0.00588],[0.529695 0.463342 -0.009974],[0.502997 0.434162 -0.010999],[0.516147 0.421722 -0.01823],[0.525997 0.41203 -0.022852],[0.534539 0.402785 -0.026188],[0.495144 0.440577 -0.016181],[0.516175 0.451688 -0.023383],[0.526468 0.465343 -0.025342],[0.532499 0.47663 -0.0263],[0.487707 0.455057 -0.020706],[0.508875 0.468286 -0.026295],[0.517976 0.479167 -0.024494],[0.522649 0.486647 -0.022752],[0.481974 0.472676 -0.025266],[0.498973 0.482987 -0.028015],[0.508223 0.489774 -0.025542],[0.515008 0.494592 -0.023401]
54,1.8,[0.481964 0.217508 0.00709],[0.499885 0.220508 0.003589],[0.522977 0.22238 0.003046],[0.541677 0.222156 0.005966],[0.493754 0.284338 0.001266],[0.52521 0.286319 0.000673],[0.485756 0.196991 -0.00231],[0.538671 0.200985 -0.003244],[0.552534 0.508709 -0.0],[0.533943 0.50024 -3.2e-05],[0.517623 0.505553 -0.002303],[0.507651 0.517946 -0.005212],[0.505687 0.531013 -0.008529],[0.505121 0.508302 -0.004149],[0.498296 0.540536 -0.008172],[0.498753 0.546157 -0.01089],[0.497286 0.544141 -0.01289],[0.514202 0.511926 -0.007194],[0.510124 0.549022 -0.009902],[0.51455 0.546813 -0.010969],[0.515789 0.539622 -0.012231],[0.524561 0.517293 -0.01003],[0.521471 0.551387 -0.011806],[0.525496 0.545522 -0.010733],[0.526249 0.53564 -0.010706],[0.535735 0.523935 -0.013016],[0.535409 0.549007 -0.014375],[0.537869 0.545312 -0.012612],[0.539296 0.537386 -0.011195],[0.463394 0.47 0.0],[0.484231 0.458007 0.001269],[0.504971 0.454155 -0.002173],[0.518386 0.460347 -0.006691],[0.526549 0.469447 -0.011838],[0.503347 0.436747 -0.010694],[0.516876 0.427027 -0.016483],[0.526261 0.418603 -0.019925],[0.534368 0.411236 -0.022701],[0.495833 0.445296 -0.016078],[0.516849 0.459226 -0.023224],[0.526861 0.474064 -0.025429],[0.532138 0.486527 -0.026486],[0.487925 0.460288 -0.020622],[0.50916 0.475917 -0.026045],[0.517375 0.486815 -0.024641],[0.520489 0.494909 -0.02311],[0.481368 0.477899 -0.025171],[0.498916 0.489046 -0.027498],[0.507171 0.495453 -0.024967],[0.511926 0.50026 -0.022874]
55,1.83333,[0.481838 0.216463 0.007421],[0.49974 0.21987 0.003709],[0.522937 0.222101 0.00286],[0.541855 0.222014 0.005634],[0.493238 0.28301 0.001601],[0.525018 0.28558 0.000524],[0.485728 0.195818 -0.002105],[0.538885 0.200681 -0.003602],[0.546436 0.502586 -0.0],[0.525486 0.507496 -0.000872],[0.50986 0.526789 -0.005087],[0.504926 0.550876 -0.009563],[0.505457 0.569865 -0.014373],[0.498766 0.524675 -0.008826],[0.493061 0.558536 -0.014364],[0.495516 0.578915 -0.017146],[0.498992 0.593066 -0.019134],[0.508591 0.526696 -0.011971],[0.508912 0.571308 -0.01597],[0.516775 0.570398 -0.01538],[0.519845 0.562394 -0.015869],[0.520861 0.52988 -0.014998],[0.523915 0.568288 -0.017781],[0.528659 0.559061 -0.015061],[0.528291 0.546403 -0.014362],[0.533805 0.53285 -0.018098],[0.535441 0.561559 -0.020532],[0.538887 0.554234 -0.018109],[0.539099 0.54325 -0.016695],[0.46089 0.473575 0.0],[0.478848 0.460149 0.000674],[0.499115 0.456787 -0.002529],[0.513661 0.461775 -0.006322],[0.523031 0.470287 -0.010618],[0.500499 0.443086 -0.012016],[0.515759 0.432825 -0.018057],[0.526666 0.424799 -0.02135],[0.535696 0.417474 -0.023904],[0.494947 0.453665 -0.016648],[0.515362 0.464112 -0.023274],[0.525428 0.477702 -0.02532],[0.531309 0.489152 -0.026558],[0.488195 0.469851 -0.020489],[0.50693 0.47996 -0.025836],[0.51617 0.490381 -0.025245],[0.521161 0.49849 -0.024552],[0.48216 0.48745 -0.024257],[0.49788 0.494968 -0.026987],[0.506389 0.501539 -0.025244],[0.512386 0.507195 -0.023848]
56,1.86667,[0.48146 0.216743 0.00801],[0.49926 0.219611 0.00406],[0.522436 0.221292 0.002825],[0.541429 0.220976 0.005322],[0.493473 0.28328 0.001671],[0.524936 0.285163 4.8e-05],[0.484923 0.196663 -0.001564],[0.537965 0.200166 -0.003804],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[0.459207 0.48396 0.0],[0.476876 0.469687 0.001462],[0.497449 0.466671 -0.001331],[0.513386 0.471185 -0.004764],[0.524108 0.478935 -0.008424],[0.498804 0.453204 -0.010417],[0.514029 0.442183 -0.016133],[0.525222 0.433829 -0.019302],[0.534536 0.426769 -0.021542],[0.494715 0.463495 -0.015036],[0.517199 0.475645 -0.020994],[0.526282 0.489497 -0.022516],[0.529802 0.500833 -0.022975],[0.489148 0.479798 -0.018807],[0.509782 0.493812 -0.022936],[0.515721 0.505108 -0.021141],[0.516084 0.512865 -0.019393],[0.484035 0.497332 -0.022522],[0.500161 0.506424 -0.02386],[0.505099 0.512727 -0.020907],[0.50667 0.518064 -0.018413]
57,1.9,[0.481795 0.216203 0.00824],[0.499357 0.219042 0.004097],[0.522209 0.220684 0.002435],[0.541122 0.220315 0.00462],[0.492907 0.282709 0.002285],[0.524936 0.284816 0.000164],[0.485132 0.195952 -0.00142],[0.53762 0.19931 -0.004442],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[0.45481 0.493319 0.0],[0.470869 0.47887 1.4e-05],[0.491494 0.475283 -0.003475],[0.508288 0.480336 -0.007222],[0.519506 0.488325 -0.011061],[0.493062 0.462346 -0.012544],[0.510132 0.453347 -0.019182],[0.522467 0.446323 -0.022818],[0.532788 0.440755 -0.025308],[0.489554 0.47324 -0.016508],[0.512379 0.484014 -0.022987],[0.522205 0.496331 -0.024418],[0.527219 0.507347 -0.024968],[0.484692 0.489739 -0.019789],[0.506318 0.502612 -0.024844],[0.513423 0.513139 -0.023367],[0.515418 0.521381 -0.021824],[0.480441 0.507466 -0.023097],[0.497939 0.516713 -0.025694],[0.503909 0.52398 -0.023533],[0.506942 0.530609 -0.021534]
58,1.93333,[0.481546 0.216404 0.008446],[0.499146 0.218937 0.004309],[0.522014 0.220235 0.00265],[0.540861 0.219748 0.004844],[0.493251 0.282312 0.001909],[0.524763 0.28387 -0.000156],[0.484848 0.196532 -0.001152],[0.537147 0.199399 -0.00417],[0.545068 0.524979 -0.0],[0.523685 0.532322 0.000507],[0.507956 0.550042 -0.002296],[0.50044 0.570502 -0.005579],[0.499572 0.588214 -0.009506],[0.496039 0.549748 -0.006976],[0.488881 0.581105 -0.011599],[0.490147 0.600434 -0.014185],[0.49294 0.613844 -0.015934],[0.50563 0.551201 -0.010256],[0.505793 0.593 -0.012437],[0.511954 0.595439 -0.012222],[0.515505 0.590863 -0.013387],[0.517687 0.553849 -0.013178],[0.520417 0.592023 -0.014467],[0.524813 0.585799 -0.012231],[0.526079 0.575944 -0.012145],[0.530557 0.557626 -0.016133],[0.530532 0.586924 -0.018044],[0.53417 0.582417 -0.01558],[0.535666 0.573296 -0.01403],[0.452651 0.500648 0.0],[0.467534 0.483065 0.000171],[0.487185 0.476773 -0.003176],[0.503851 0.479894 -0.006836],[0.515772 0.487219 -0.010483],[0.487876 0.469566 -0.012084],[0.506896 0.460658 -0.018756],[0.520104 0.455693 -0.021986],[0.530821 0.45268 -0.023962],[0.486308 0.48217 -0.015819],[0.509388 0.49045 -0.022037],[0.520011 0.502126 -0.023209],[0.52593 0.512776 -0.023558],[0.483267 0.499178 -0.018906],[0.505633 0.510695 -0.023971],[0.512282 0.520927 -0.022638],[0.513928 0.529129 -0.021112],[0.480146 0.516911 -0.021938],[0.497759 0.526115 -0.024872],[0.5043 0.533855 -0.023147],[0.507747 0.541003 -0.021285]
